6044,OPEN,Is there a triton endpoint to check if there is requests in the model or not?,,2023-07-11 21:27:12 +0000 UTC
6042,OPEN,transformer model output mismatch,,2023-07-11 09:14:56 +0000 UTC
6038,OPEN,Memory Leak When Using Python/TensorRT Backend,bug,2023-07-10 20:55:34 +0000 UTC
6036,OPEN,How to convert an image into the input required by the model in Java,question,2023-07-07 14:21:43 +0000 UTC
6035,OPEN,How can I get OpenVINO model configure example?,question,2023-07-07 12:38:49 +0000 UTC
6034,OPEN,triton aiohttp client report "Timeout context manager should be used inside a task" error,question,2023-07-07 12:33:59 +0000 UTC
6030,CLOSED,error running inference using grpc client for java,invalid, question,2023-07-07 14:16:14 +0000 UTC
6029,CLOSED,[QST] when/where to exactly load the pytorch mode?,question,2023-07-06 04:17:57 +0000 UTC
6028,OPEN,model lock for python backend Model Loading API,enhancement, question,2023-07-06 17:51:03 +0000 UTC
6027,OPEN,Create a torch::multipy (torch::deploy) backend for eager mode serving,enhancement,2023-07-07 20:20:54 +0000 UTC
6025,OPEN,About the deployment of the chat-glm model,question,2023-07-06 02:32:11 +0000 UTC
6024,CLOSED,How to set up the config.pbtxt for 2 completely different shaped inputs?,,2023-07-05 03:24:43 +0000 UTC
6023,CLOSED,There is a bug when I set the initial_state,invalid,2023-07-10 20:18:17 +0000 UTC
6021,OPEN,model repository to use semantic versioning,enhancement,2023-07-05 14:15:38 +0000 UTC
6020,OPEN,Support client to build with CMAKE_MSVC_RUNTIME_LIBRARY,enhancement,2023-07-05 22:55:51 +0000 UTC
6015,OPEN,Build and run client in mac, ios and android,enhancement,2023-07-04 05:58:49 +0000 UTC
6014,OPEN,Newer versions of triton server have a consirable slowdown in start time,bug, investigating,2023-07-07 18:31:56 +0000 UTC
6013,CLOSED,Question About Batching Process in Triton,question,2023-07-06 15:31:08 +0000 UTC
6012,CLOSED,Compiling error,question,2023-07-05 20:59:41 +0000 UTC
6011,CLOSED,Prometheus metric nv_inference_request_summary_us missing in 23.06 release,investigating,2023-07-07 06:14:28 +0000 UTC
6009,OPEN,memory_usage is [] on A6000s,,2023-07-03 12:17:06 +0000 UTC
6008,OPEN,How can i identify the model instances in the instance group ?,question,2023-07-06 22:46:34 +0000 UTC
6007,OPEN,How can we update models in all triton servers using mlflow triton plugin,,2023-06-29 22:03:11 +0000 UTC
6004,CLOSED,Default Models not working,,2023-06-29 17:58:35 +0000 UTC
6003,CLOSED,async_stream_infer has no keyword argument 'enable_empty_final_response',,2023-06-30 01:28:08 +0000 UTC
6002,CLOSED,Dynamic batching does not work in decoupled model,,2023-07-03 01:54:37 +0000 UTC
5999,CLOSED,json data,,2023-06-28 11:36:51 +0000 UTC
5998,CLOSED,how to return json data,question,2023-06-29 02:08:54 +0000 UTC
5997,OPEN,UNAVAILABLE: Internal: failed to load model 'yolov5': PytorchStreamReader failed locating file constants.pkl: file not found,question,2023-06-30 19:10:11 +0000 UTC
5996,CLOSED,how to set the ensemble_scheduling when do inference of difference outputs,question,2023-07-05 06:03:13 +0000 UTC
5989,OPEN,PeftModel work well on python backend?,question, investigating,2023-06-29 01:20:02 +0000 UTC
5988,CLOSED,【PythonBackend】TRITONBACKEND_ResponseSend hangs,,2023-06-30 05:55:39 +0000 UTC
5987,OPEN,OpenTelemetry Tracing allow to configure service name,enhancement,2023-06-26 19:19:47 +0000 UTC
5983,OPEN,How to restart a model instance,enhancement,2023-06-28 00:09:02 +0000 UTC
5982,OPEN,allow model parameters to be specified in ensemble config,enhancement,2023-06-23 19:50:14 +0000 UTC
5978,CLOSED,[Question] What is the recommended way to run Triton ?,question,2023-06-23 01:50:28 +0000 UTC
5977,CLOSED,how can i use triton_python_backend_utils?,question,2023-06-23 19:30:50 +0000 UTC
5975,CLOSED,Incompatible TensorRT versions between nvcr.io/nvidia/tritonserver:23.05-py3 and nvcr.io/nvidia/tensorrt:23.05-py3 images,,2023-07-07 22:34:20 +0000 UTC
5973,OPEN,Raise exception when falling back to pinned memory,enhancement,2023-06-21 18:47:52 +0000 UTC
5972,OPEN,Error when using models with zero-length inputs,bug,2023-06-22 01:29:58 +0000 UTC
5971,OPEN,CORS Issue,enhancement,2023-06-23 00:12:12 +0000 UTC
5970,CLOSED,[Question] How does Triton run ensemble models ?,,2023-06-22 14:07:24 +0000 UTC
5969,CLOSED,multi triton_python_backend cause image preprocess (torchvision) very slow.,question,2023-07-07 22:34:36 +0000 UTC
5968,OPEN,LoRA support,enhancement,2023-07-10 23:45:47 +0000 UTC
5964,OPEN,Could not load model using mlflow triton plugin with S3/minio as model repository,bug,2023-06-23 10:18:02 +0000 UTC
5961,OPEN,Allow introspection and static analysis of `pb_utils` (Python backend),enhancement,2023-06-20 19:38:38 +0000 UTC
5960,CLOSED,Error with float16 datatype,question,2023-07-07 22:35:34 +0000 UTC
5959,OPEN,BF16 support for integrated TensorRT precision mode,enhancement,2023-06-20 19:31:18 +0000 UTC
5958,CLOSED,Am I the only one who can't pull nvidia image from `nvcr.io/nvidia` ?,question,2023-06-21 18:17:31 +0000 UTC
5957,OPEN,The performance of the model is greatly affected by the request distribution,,2023-07-11 02:37:40 +0000 UTC
5956,CLOSED,Invalid argument - input 'INPUT' already exists in request,,2023-07-07 22:37:23 +0000 UTC
5953,OPEN,Performance analyzer with real data byte size mismatch,question,2023-06-23 00:39:26 +0000 UTC
5952,CLOSED,python backend error: c_python_backend_utils.TritonModelException: Tensor is stored in GPU and cannot be converted to NumPy,,2023-06-16 23:34:58 +0000 UTC
5951,OPEN,Decoupled Models Hang Unexpectedly with No Clear Error Message,,2023-06-22 21:41:38 +0000 UTC
5949,CLOSED,boost::interprocess::lock_exception,investigating,2023-07-06 16:58:43 +0000 UTC
5948,CLOSED,socket timed out when an inference request is made using a client.py script,,2023-07-07 22:37:59 +0000 UTC
5947,CLOSED,need InferenceRequest and InferenceResponse definitions to better test user codes,question,2023-07-07 22:37:50 +0000 UTC
5944,OPEN,InferenceRequestNew cost time will slowly increase with the number of model reloads,,2023-06-28 12:52:07 +0000 UTC
5943,CLOSED,Poll failed for model directory 'ensemble': output 'OUTPUT_0' for ensemble 'ensemble' is not written,,2023-07-06 15:35:35 +0000 UTC
5942,OPEN,Why does a process still occupy the CPU after the server is started?,,2023-06-14 01:46:05 +0000 UTC
5940,CLOSED,Questions about loading models,question,2023-07-07 22:38:10 +0000 UTC
5938,CLOSED,TensorRT model inference speed varies dramatically depending on if an ONNX model is also loaded,,2023-06-13 20:06:27 +0000 UTC
5934,OPEN,The Docker build process has failed.,,2023-06-13 00:54:27 +0000 UTC
5933,CLOSED,version `GLIBCXX_3.4.30' not found (required by /opt/tritonserver/backends/python/triton_python_backend_stub,,2023-06-28 21:44:45 +0000 UTC
5932,OPEN,How to request the deployed server through postman？,question,2023-06-13 02:04:28 +0000 UTC
5931,OPEN,ERROR: The NVIDIA Driver is present, but CUDA failed to initialize.,,2023-07-07 10:18:27 +0000 UTC
5929,CLOSED,How the aio stream client gets the response,,2023-06-29 09:39:54 +0000 UTC
5927,OPEN,Metrics: number of requests in queue,enhancement,2023-06-13 04:52:38 +0000 UTC
5926,CLOSED,[Python Backend] Dynamic batching does not work in decoupled model,,2023-06-12 19:20:32 +0000 UTC
5920,CLOSED,Triton server returns Request Timeout error after a few hours of continuous inference,,2023-06-20 05:07:00 +0000 UTC
5918,CLOSED,gRPC version mismatch between the Triton client and DeepStream,,2023-06-11 11:36:27 +0000 UTC
5913,CLOSED,Yielding Tokens During LM Inference,,2023-07-01 11:41:46 +0000 UTC
5912,CLOSED,Triton will initialize logging twice when starting,,2023-06-27 23:33:52 +0000 UTC
5907,OPEN,onnxruntime_backend doesn't support loading models concurrently,,2023-06-07 16:39:18 +0000 UTC
5906,CLOSED,Provide server configuration through file,,2023-06-06 10:57:43 +0000 UTC
5905,OPEN,the c++ API of backends get output from tensrort and onnx is different,,2023-06-21 22:05:06 +0000 UTC
5904,CLOSED,the c++ API of backends get output from tensrort and onnx,,2023-06-06 19:27:17 +0000 UTC
5903,CLOSED,How to view server logs,question,2023-06-07 07:51:36 +0000 UTC
5902,OPEN,how to serve thousands of models in python backend?,,2023-06-26 14:17:12 +0000 UTC
5901,CLOSED,Python backend custom metrics: Unsupported TRITONSERVER_MetricKind,,2023-06-12 22:59:07 +0000 UTC
5899,CLOSED,perf_analyzer removes arguments with empty contents,,2023-07-03 15:26:03 +0000 UTC
5895,CLOSED,Python version used in backend updated to 3.10?,,2023-06-02 20:13:27 +0000 UTC
5893,CLOSED,about triton client c++ api send float,,2023-07-07 22:53:53 +0000 UTC
5891,CLOSED,Triton server produces inconsistent results,question,2023-06-07 05:08:22 +0000 UTC
5890,CLOSED,Ensemble model versioning,question,2023-06-05 18:27:53 +0000 UTC
5889,CLOSED,How to serve Python models on GPU,question,2023-06-23 20:06:35 +0000 UTC
5887,CLOSED,Issues regarding the performance of cudashm.set_shared_memory_region(shm_input_handle, [img]),,2023-07-07 22:36:52 +0000 UTC
5886,CLOSED,How to interpret perf_analyzer results,question,2023-07-07 22:58:28 +0000 UTC
5879,CLOSED,[Question] Can not infer model because of batch in client request smaller than batch config in server,question,2023-06-02 02:02:51 +0000 UTC
5874,CLOSED,how to config BLS model to instantiate multi BLS model,question,2023-07-07 22:59:14 +0000 UTC
5872,CLOSED,How to convert pytorch model to onnx for use ragged batching?,,2023-05-30 12:44:38 +0000 UTC
5870,CLOSED,multi-gpu error,,2023-05-30 22:14:19 +0000 UTC
5869,CLOSED,Shared memory error occured when using Triton Inference Server in SageMaker Batch Transform.,question,2023-06-14 19:48:21 +0000 UTC
5868,CLOSED,No space left on device on when deployed using python backend,,2023-05-30 05:29:58 +0000 UTC
5867,CLOSED,Triton client InferenceServerException: Failed to process request due to TypeError,,2023-05-30 13:33:47 +0000 UTC
5866,CLOSED,Model unable to support batching on triton inference server,question,2023-05-31 18:56:50 +0000 UTC
5865,CLOSED,Unknown performance bottleneck when using ensemble model,,2023-06-23 19:57:04 +0000 UTC
5864,CLOSED,Incorrect outputs in TRT model,question,2023-06-14 19:48:45 +0000 UTC
5863,CLOSED,convert tensorrt sucessfully same version with triton tensorrt, but can not load,,2023-05-31 09:39:10 +0000 UTC
5862,CLOSED,custom repo agent for model repo on s3,,2023-05-30 12:47:45 +0000 UTC
5859,CLOSED,Why get huge matrix, cannot get detection results, when using C API to implement " densenet_onnx" model inference like simple.cc,,bug,2023-05-30 02:01:30 +0000 UTC
5858,OPEN,tritonserver stopped at the following step, it seems model loaded fail,question,2023-07-10 16:14:04 +0000 UTC
5853,OPEN,How to pass traceparent in the OpenTelemetry tracing feature,enhancement,2023-06-26 21:47:08 +0000 UTC
5850,CLOSED,Model on DEVICE_CPU become 4x slower when it is part of an ensemble,,2023-05-24 15:59:45 +0000 UTC
5848,CLOSED,how to use perf_analyzer without cuda ?,question,2023-06-12 21:56:10 +0000 UTC
5847,OPEN,Triton issue,,2023-05-24 09:48:09 +0000 UTC
5846,CLOSED,Error "unable to create stream: the provided PTX was compiled with an unsupported toolchain" once installed other version of CUDA,,2023-06-12 21:55:59 +0000 UTC
5844,CLOSED,Onnxruntime backend `gpu_mem_limit` is not respected,,2023-05-24 14:18:28 +0000 UTC
5843,CLOSED,Run onnixruntime backend occured fault ！,,2023-07-07 23:44:36 +0000 UTC
5841,OPEN,GPU memory leak when loading/unloading models,bug, investigating,2023-06-20 17:15:32 +0000 UTC
5840,OPEN,Triton crash when query is > Aproximatively 4 MB,bug, investigating,2023-05-25 17:45:09 +0000 UTC
5839,CLOSED,Triton Inference Server installation failure,question,2023-06-14 19:49:18 +0000 UTC
5838,CLOSED,[Question] Inference with torchscript model,question,2023-06-12 21:57:19 +0000 UTC
5837,OPEN,[Question] How does triton inference server limit endpoint access for HTTP protocol ?,enhancement,2023-07-07 23:43:38 +0000 UTC
5835,CLOSED,[Question] How does triton server use s3 as model-respoitory?,question,2023-05-23 15:39:37 +0000 UTC
5834,CLOSED,Model Configuration is wrongly restrictive (2),question,2023-05-24 08:53:11 +0000 UTC
5833,CLOSED,How to terminate a grpc streaming request immediately during tritonserver inference with a FasterTransformer backend?,question,2023-06-01 02:48:26 +0000 UTC
5830,CLOSED,[python-backend] How to load script model with _extra files in model.pt?,,2023-07-06 15:35:12 +0000 UTC
5829,OPEN,The speed of pre- and post- processing based on python backend is very slow!,,2023-07-07 23:24:45 +0000 UTC
5828,CLOSED,Triton server crashes with a signal 11 when attempting to call nonexistent model inference,bug, investigating,2023-05-23 17:12:11 +0000 UTC
5827,CLOSED,Cant build server with debug symbols,question,2023-06-12 21:57:49 +0000 UTC
5823,CLOSED,Can I use triton with deepspeed inference?,question,2023-05-24 15:29:24 +0000 UTC
5822,CLOSED,model_configuration -> model_transaction_policy -> decoupled mode -> requests[0].get_response_sender(),,2023-06-12 21:58:04 +0000 UTC
5821,OPEN,error: private field 'event_' is not used [-Werror,-Wunused-private-field],question,2023-06-08 04:25:50 +0000 UTC
5820,CLOSED,python_backend dlpack: Bool type is not supported,question,2023-05-29 16:07:50 +0000 UTC
